,name,pid,duration,
0,system_server,1762,0.060738,60.738
1,com.tencent.mm,6156,0.051514,51.514
2,mobileqq,5953,0.046113,46.113
3,nt.mm:appbrand0,8387,0.039943,39.943
4,com.android.mms,2745,0.032772,32.772
5,nt.mm:appbrand1,8380,0.030736,30.736
6,m.heytap.health,6711,0.02879,28.79
7,nt.mobileqq:MSF,2744,0.023831,23.831
8,.persist.system,2974,0.020347,20.347
9,tencent.mm:push,7412,0.018555,18.555
10,ndroid.systemui,2724,0.017689,17.689
11,os.sceneservice,6206,0.017687,17.687
12,gle.android.gms,4161,0.017363,17.363
13,eytap.pictoria,2741,0.016537,16.537
14,.gms.persistent,3354,0.015419,15.419
15,d.process.acore,2738,0.014994,14.994
16,.mobileqq:mini3,6572,0.014635,14.635
17,q:mini_interna,6507,0.014619,14.619
18,t.mobileqq:mini,6541,0.014404,14.404
19,ndroid.location,6022,0.014292,14.292
20,ealth:transport,6443,0.012774,12.774
21,method.sogouoe,5940,0.011839,11.839
22,com.heytap.mcs,4162,0.011829,11.829
23,.mobileqq:mini7,6890,0.011567,11.567
24,m.oppo.launcher,2969,0.01046,10.46
25,mhelper_servic,4869,0.009147,9.147
26,ocess.gservices,4168,0.009075,9.075
27,weather.service,5937,0.008854,8.854
28,pos.ads:servic,2746,0.008787,8.787
29,com.android.nf,4867,0.007884,7.884
30,m.android.phone,2952,0.007772,7.772
31,webview_zygote,8457,0.007525,7.525
32,usap64,6341,0.007463,7.463
33,usap64,6191,0.007216,7.216
34,main,9000,0.007213,7.213
35,usap64,6358,0.006969,6.969
36,olby.daxservic,4863,0.006956,6.956
37,main,6468,0.006908,6.908
38,.statistics.rom,2721,0.006856,6.856
39,main,7034,0.006174,6.174
40,usap64,4172,0.006049,6.049
41,m.oppo.tzupdate,3237,0.005883,5.883
42,main,6643,0.005582,5.582
43,keymaster@4.0-s,549,0.005573,5.573
44,main,6731,0.005544,5.544
45,usap64,4850,0.005481,5.481
46,usap32,2742,0.005464,5.464
47,usap32,5935,0.005424,5.424
48,usap64,7403,0.005384,5.384
49,sh,11214,0.005251,5.251
50,sleep,6402,0.00519,5.19
51,usap64,6492,0.005145,5.145
52,usap64,7458,0.005045,5.045
53,main,8993,0.004973,4.973
54,usap64,8358,0.00494,4.94
55,main,1701,0.004716,4.716
56,usap32,6469,0.004713,4.713
57,main,5962,0.004696,4.696
58,sh,11163,0.004688,4.688
59,usap64,6546,0.004643,4.643
60,ps,11189,0.004597,4.597
61,main,7187,0.004595,4.595
62,main,7129,0.00458,4.58
63,main,7082,0.004559,4.559
64,main,6296,0.004504,4.504
65,main,6280,0.004429,4.429
66,ueventd,528,0.004324,4.324
67,main,6034,0.004298,4.298
68,main,7917,0.00421,4.21
69,main,8374,0.004193,4.193
70,main,7067,0.004123,4.123
71,surfaceflinger,1037,0.003941,3.941
72,usap64,6458,0.003881,3.881
73,main,6488,0.00375,3.75
74,usap64,4880,0.003496,3.496
75,main,8391,0.003435,3.435
76,main,6739,0.003353,3.353
77,com.oppo.nhs,2947,0.00331,3.31
78,sist.multimedia,3759,0.003235,3.235
79,main,6010,0.003233,3.233
80,main,1739,0.003218,3.218
81,qtidataservices,2727,0.003114,3.114
82,main,6354,0.003076,3.076
83,Binder:783_3,783,0.003041,3.041
84,usap64,8997,0.002991,2.991
85,oros.appmanager,2722,0.002986,2.986
86,main,7368,0.002926,2.926
87,main,6013,0.002823,2.823
88,msm_irqbalance,1699,0.002755,2.755
