duration,pid,name
17223.445,1762,system_server
15043.23,6156,com.tencent.mm
12039.774,5953,encent.mobileqq
8155.28,4850,d.process.media
6670.663,8387,nt.mm:appbrand0
4160.124,8380,nt.mm:appbrand1
3618.83,7412,tencent.mm:push
2961.83,2744,nt.mobileqq:MSF
2449.73,4161,gle.android.gms
2232.663,2738,d.process.acore
1918.182,6572,.mobileqq:mini3
1885.272,6541,t.mobileqq:mini
1866.262,6507,q:mini_internal
1820.595,2724,ndroid.systemui
1798.127,2974,.persist.system
1523.6,3354,.gms.persistent
1475.132,1037,surfaceflinger
1335.415,6886,adbd
1292.442,9000,cent.mm:toolsmp
1195.153,6890,.mobileqq:mini7
1175.362,543,logd
1124.484,1272,Binder:1272_2
1105.858,5940,method.sogouoem
1047.612,6711,m.heytap.health
1031.6,2969,m.oppo.launcher
1025.502,1036,lmkd
1024.68,2741,eytap.pictorial
1003.719,7034,rtDaemonService
961.874,784,main
922.195,947,composer-servic
811.522,1012,ashmemd
773.499,4168,ocess.gservices
766.251,2745,com.android.mms
764.042,2952,m.android.phone
642.515,6206,os.sceneservice
521.683,4162,com.heytap.mcs
498.649,5962,oloros.calendar
485.913,545,servicemanager
481.223,6469,com.ted.number
426.2,2721,.statistics.rom
420.108,6022,ndroid.location
418.458,332,kworker/u16:13-adb
389.151,7067,ros.gamespaceui
358.347,8374,m.android.email
356.496,4867,com.android.nfc
337.409,6443,ealth:transport
293.457,2722,oros.appmanager
280.779,783,Binder:783_3
262.104,1021,audioserver
248.48,785,main
236.482,266,kworker/u16:3-ufs_pm_qos_0
230.069,1309,Binder:1309_2
226.695,6468,loros.shortcuts
214.788,6358,m.heytap.openid
207.733,2742,ytap.usercenter
205.874,385,crtc_commit:111
200.375,7458,id.gms.unstable
195.555,6034,er:clear_filter
187.329,277,kworker/u16:4-adb
186.857,8993,mm.embms:remote
184.94,279,kworker/u16:6-ufs_pm_qos_0
182.821,5935,.habit.analysis
180.798,7656,logcat
180.652,6296,assistantscreen
176.261,4172,iders.downloads
168.748,7896,earme.romupdate
167.57,4880,ultimedia.dolby
165.736,6726,irelesssettings
163.791,4863,olby.daxservice
162.259,6488,oros.activation
155.113,7129,stant:edgepanel
151.94,1,init
151.519,5937,weather.service
148.331,6143,i.modemtestmode
146.246,546,hwservicemanage
142.461,11189,ps
140.433,6492,loros.securepay
138.171,3237,m.oppo.tzupdate
137.993,7403,viders.calendar
129.675,7082,d.carrierconfig
126.418,7187,droid.dynsystem
126.335,6341,id.partnersetup
125.492,7391,ssioncontroller
125.151,6731,e.process.gapps
123.292,6354,helper:register
122.938,6280,ros.findmyphone
122.549,1504,kworker/u17:22-dwc_wq
121.256,11,rcu_preempt
118.308,7924,ualcomm.qti.lpa
118.022,8358,kloadclassifier
115.96,7917,lcomm.telephony
113.364,950,qteeconnector@1
113.071,6013,o.ovoicemanager
112.987,7368,gedprovisioning
110.732,6191,t.local.service
110.67,8391,ter.soterserver
102.909,918,wifi@1.0-servic
102.114,8997,loros.gamespace
99.715,6643,upport.services
99.579,891,audio@2.0-servi
96.137,4869,mhelper_service
93.031,12,rcu_sched
91.138,2746,pos.ads:service
90.455,6546,ndroid.keychain
90.415,3759,sist.multimedia
89.108,6010,com.android.se
88.012,4769,irq/101-90b6300
86.248,4774,irq/102-90cd000
85.035,6739,.localtransport
